name,platforms,genres,publishers
D/Generation HD,PC||macOS||Xbox One||PlayStation 4||Nintendo Switch,Adventure||Puzzle,West Coast Software
Toto Temple Deluxe,PC||Xbox One||Wii U||PlayStation 4,Action||Casual||Indie,Juicy Beast Studio||Juicy Beast
Standpoint,macOS||Linux||PC||Xbox One,Action||Indie,Unruly Attractions
Kaiju Panic,PC||macOS||Xbox One,Action||Strategy||Indie,Mechabit
Laserlife,macOS||PC||Xbox One||PlayStation 4,Action||Indie,Choice Provisions
Instant Indie Collection: Vol. 2,Xbox One||PlayStation 4,,Curve Digital
Line of Defense Tactics,Android||iOS||Xbox One||PC,Action||RPG||Strategy||Indie,3000AD
G Prime Into The Rain,macOS||PC||Xbox One,Simulation||Indie,Immanitas Entertainment||Code-Monkeys
Replay: VHS is not dead,Xbox One||Wii U||PC||PlayStation 4,Puzzle||Platformer,Neko Entertainment
MagNets: Fully Charged,Xbox One,,Total Monkery
Gryphon Knight Epic,Linux||macOS||PC||Xbox One||PlayStation 4,Action||Shooter||Indie,4EversGames||Cyber Rhino Studios
Cubikolor,macOS||PC||Xbox One||PlayStation 4||Nintendo Switch,Casual||Indie||Puzzle,Plug In Digital||Moving Player||LIGHTMAZE
White Knight Chronicles II,PlayStation 3,,
MotionSports: Adrenaline,PlayStation 3||Xbox 360,Sports,Ubisoft Entertainment
Watchmen: The End is Nigh The Complete Experience,PlayStation 3,,
Golem,PC||PlayStation 4,Adventure||Indie,
HeartZ: Co-Hope Puzzles,PC||macOS||Linux||Xbox One,Action||Adventure||Indie,Neko Entertainment||Spawn Digital
Toukiden 2 with Bonus,PlayStation 4||PS Vita,,
Deer Simulator,PlayStation 4,Simulation,
SkyKeepers,PC||Xbox One||PlayStation 4,Action||Adventure||Indie,Sword Twin Studios
Shred It!,iOS||Xbox One||PlayStation 4,Sports||Arcade,EM Studios||Extra Mile Studios
WONDER BOY RETURNS,PC||PlayStation 4,Action||Arcade||Casual,CFK Co
Wolf of the Battlefield: Commando MOBILE,iOS,Action||Arcade||Casual,Capcom
Dawn of the Plow,Android||macOS||Linux||PC||iOS,Action||Arcade||Indie,Dan FitzGerald||Trichotomy
Inferno+,iOS||Android,Action||RPG||Arcade,Luke Schneider
Heroes of the Monkey Tavern,PC||PlayStation 4||Nintendo Switch,Action||Adventure||RPG||Indie,Monkey Stories
Horse Racing 2016,iOS||Linux||PC||macOS||Xbox One||PlayStation 4,Sports||Racing||Indie,YASH FUTURE TECH SOLUTIONS PVT
Korix,PlayStation 4,Action||Adventure,
R.B.I. Baseball 14,iOS||Xbox One||PlayStation 4||PlayStation 3||Xbox 360,Simulation||Sports,Major League Baseball Advanced Media||MLB.com
Perfect Paths,iOS,Board Games||Puzzle,Jan Ilavsky
SXPD: Extreme Pursuit Force. The Comic Book Game Hybrid,iOS,Action||Racing,Little Chicken Game Company
Exploding Kittens - The Official Game,iOS,Board Games||Card,Exploding Kittens
Old Time Hockey,PC||PlayStation 4,Sports,V7 Entertainment
Spirit for iPad,iOS,Action||Arcade,Marco Mazzoli
Dungeon Defense: The Invasion of Heroes,iOS,Action||Strategy,GukHwan Kim||GameCoaster
R.B.I. Baseball 17,iOS||Android||Xbox One||Nintendo Switch||PlayStation 4,Sports,Major League Baseball Advanced Media||MLB.com||MLB Advanced Media
Active Soccer 2 DX,iOS||Xbox One||PlayStation 4,Sports||Arcade,Gianluca Troiano||The Fox Software
STREET FIGHTER IV VOLT,iOS,Action||Arcade,Capcom
Skyforge: Early Adopter Pack,PlayStation 4,,
Wayward Souls,iOS||PC||Android,Action||Adventure||RPG||Indie,Rocketcat||Rocketcat Games
Skyforge: Extended Early Adopter Pack - Rage of the Berserker,PlayStation 4,,
Bug Heroes,iOS,Action||Adventure,Foursaken Media
100 Rogues,iOS,Action||RPG,Fusion Reactions
Puzzle & Dragons (English),iOS,RPG||Puzzle,GungHo Online Entertainment
Skyforge: Ultimate Early Adopter Pack - Wrath of the Gods,PlayStation 4,,
Modern Combat 5: The Multiplayer eSports Shooter,iOS,Action||Adventure,Gameloft
Dungeon Hunter 4,Android||iOS,Action||RPG,Gameloft
Bike Baron,iOS||macOS,Action||Racing||Arcade||Casual,Mountain Sheep
Land Sliders,iOS,Adventure||Arcade,Prettygreat Pty
Trigger Fist,iOS,Action||Arcade,Lake Effect Applications
Tilt to Live,iOS,Action||Arcade||Casual,One Man Left
RAVENMARK: Scourge of Estellion,iOS||PC,RPG||Strategy,Slitherine||Witching Hour Studios Pte
FATAL FURY BATTLE ARCHIVES VOL.2,PlayStation 4,Fighting,
88 Heroes,PC||Linux||macOS||Xbox One||PlayStation 4,Action||Arcade||Indie||Platformer,Rising Star Games
Forgotten Memories: Alternate Realities,iOS||Android||PC||PlayStation 3,Action||Adventure,Psychose Interactive||Psychoz Interactive
Solomon's Keep,iOS,RPG,Raptisoft
'I Want It All' - Queen,PlayStation 3||PlayStation 4,,
Football Heroes 2015,iOS,Sports||Arcade||Casual,Run Games
SHADOWGUN,iOS||Android,Action||Adventure||Arcade,MADFINGER Games
Terra Battle,Android||iOS,Action||RPG,MISTWALKER
Tennis Champs Returns,iOS||Android,Sports||Arcade||Casual,Uprising Games
Red Conquest! (Episodes 1 & 2!),iOS,Strategy||Simulation,Cat in a Box Games
Color Symphony 2,macOS||Linux||PC||Xbox One||Wii U,Action||Indie,REMIMORY
Death Tales Beta,PlayStation 4,RPG,
Escape Plan Ultimate,PlayStation 4,,
Demon's Rise,iOS||Android,RPG||Strategy,Wave Light Games
Summoner Wars,iOS||Android,Strategy||Board Games||Card,Playdek
Labyrinth 2 Lite,iOS,Arcade||Casual||Puzzle,Illusion Labs
Labyrinth 2,PC||iOS||Android,Arcade||Casual||Indie||Puzzle,Illusion Labs||SAARSE
Rayon Riddles - Rise of the Goblin King,PC||PlayStation 4,Adventure||Strategy||Puzzle,bitComposer Interactive
Sky Force 2014,iOS||Android,Action||Arcade||Casual,Infinite Dreams
Royal Defense,macOS||PC||PlayStation 4||PS Vita,Strategy||Casual||Indie,
Nimian Legends: BrightRidge HD,iOS,Adventure||RPG,Robert Kabwe
Pinball Arcade Plus,iOS,Simulation||Arcade||Casual,FarSight Studios
Touhou Double Focus,PlayStation 4||PS Vita,,
"Finder's Keep: The Dungeon-Crawling, Monster-Battling, Loot-Collecting RPG!",iOS,RPG||Strategy,Big Blue Bubble
Touhou Genso Wanderer,PlayStation 4||PS Vita,RPG,
Block Fortress,iOS||Android||macOS||PC,Action||Shooter||Strategy,Foursaken Media
ACA NEOGEO SENGOKU,Xbox One||Nintendo Switch||PlayStation 4,Arcade,HAMSTER||Co.
Gangstar Vegas,iOS,Action||Adventure,Gameloft
Junk Jack,Linux||macOS||iOS||Nintendo Switch||Android||PC,Action||Adventure||Simulation||Educational||Indie,Pixbits
Tiny Tower Vegas,iOS,Simulation,Nimblebit
Blue-Collar Astronaut,macOS||Linux||PC||Wii U||Xbox One||PlayStation 4||PlayStation 3||PS Vita,Simulation||Racing||Casual||Indie,Mutated Software
Pocket Trains - Railroad Empire Building,iOS,Strategy||Simulation,Nimblebit
Bullet Time HD,iOS,Action||Adventure,Kiloo
Rise of Heroes,iOS,RPG||Strategy,Pine Entertainment Company||Topebox Co
Galaxy on Fire 2,iOS||PC,Adventure||RPG||Simulation,FISHLABS
Seabeard,iOS||Android,Adventure||RPG,Backflip Studios
Super QuickHook,Android||iOS,Action||Arcade,Rocketcat
Eekeemoo - Splinters of The Dark Shard,Xbox One||PC||PlayStation 4||Nintendo Switch,Action||Adventure,Cooply||Cogg Games
CHAOS RINGS Ⅲ,iOS||Android,Adventure||RPG,Square Enix
Punch Quest,iOS||Android,Action||Arcade||Casual,Rocketcat
Leave the Nest,PC||PlayStation 4,Action||Arcade||Casual||Indie,Kaio Interactive
Dragon Island Blue,iOS,RPG||Strategy,NTT Resonant
Siralim 2,Linux||PC||macOS||PlayStation 4||PS Vita,RPG||Indie,Thylacine Studios
Minigore 2: Zombies,iOS,Action||Arcade||Casual,Mountain Sheep
Happy Street - Free Town Building with Animals,iOS,Adventure||Simulation,Godzilab
2Dark,PC||Xbox One||PlayStation 4,Adventure||Indie,Bigben Interactive
Bug Heroes 2,iOS||Android,Action||Strategy,Foursaken Media
Atelier Firis: The Alchemist and the Mysterious Journey +Bonus,PlayStation 4,,
Battleheart Legacy,macOS||PC||iOS||Android,Action||Adventure||RPG||Indie,Mika Mobile
Aralon: Sword and Shadow,iOS,Adventure||RPG,Crescent Moon Games
Darknet,PC||PlayStation 4,Strategy||Indie,E McNeill
Dino Dini's Kick Off Revival,PC||PlayStation 4||PS Vita,Simulation||Sports,Plug In Digital||The Digital Lounge
Order & Chaos Online - Fantasy 3D MMORPG,iOS||Android,Adventure||RPG,Gameloft
Tiny Tower - Free City Building,iOS,Simulation||Family,Nimblebit
Heroes and Castles 2,iOS||Android,Action||Strategy,Foursaken Media
"Warhammer 40,000: Deathwatch - Tyranid Invasion",iOS||PC,RPG||Strategy,Rodeo Games||Games Workshop
Hook Champ,iOS,Action||Adventure,Rocketcat
Pocket Frogs - Free pet farming,iOS,Simulation||Family,Nimblebit
Pixel People,iOS||Android,Adventure||Strategy||Simulation||Educational,Chillingo||Lamb Damu Pte
Call of Duty: Zombies,iOS||Android,Action,Activision Blizzard
Doodle Army 2: Mini Militia - Online Multiplayer,iOS,Action||Arcade,Chad Towns
Heroes and Castles,iOS||Android||macOS,Action||Strategy,Foursaken Media
Minigore,iOS,Action||Arcade,Mountain Sheep
Star Warfare:Alien Invasion,iOS,Action||Arcade,iFreyr Games
Skies of Glory,iOS,Action||Arcade,MindJolt
Pocket Planes - Airline Management,iOS,Simulation||Family,Nimblebit
Total Jigsaw,PlayStation 4,,
Bullet Hell Monday,iOS,Action||Arcade,MASAYUKI ITO
Unearthing Mars,PlayStation 4,Adventure,
Sonny,iOS||Android||macOS||PC,RPG||Strategy||Indie,Armor Games
Highway Getaway: Chase TV,iOS,Racing||Arcade,Vivid Games
Catomic: Space Cats and Atomic Owls!,iOS,Strategy||Puzzle,Jordic Invest
